id,item_name,model,serial_num,date,logger_name,description
1,Test,Test,Test,2017-12-12 23:45:14.008491,A,Test
2,TEST,TEST,TEST,2017-12-12 23:45:14.008491,A,TEST
3,TEST,TEST,TEST,2017-12-12 23:45:14.008491,A,TEST
4,Meade,TEST,TEST,2017-12-12 23:45:14.008491,A,TEST
5,Meade Test,TEST,TEST,2017-12-12 23:45:14.008491,A,TEST
6,MEADE,TEST,TEST,2017-12-12 23:45:14.008491,A,TEST
7,MEADE,TEST,TEST,2017-12-12 23:45:14.008491,A,TEST
8,Coronado Cemex Eyepiece Set,BAR,B0039ZJXQA,2017-12-12 23:51:47.440149,AJ,Not solar filter
9,"SERIES 4000 1.25"" EYEPIECE AND FILTER SET",607001,B00Z17ZD5O,2017-12-12 23:53:22.868648,AJ,In case
10,CORONADO 2X BARLOW,	BAR,	B0039ZJXQA,2017-12-12 23:54:11.270206,AJ,One eyepiece
11,"MEADE SERIES 5000 2"" DIAGONAL MIRROR ",07680,B004FJGYM0,2017-12-13 00:01:52.901055,AJ,Star diagonal
12,"","","",2017-12-13 00:39:59.082753,"",""
13,"16"" Dome Telescope",N/A,N/A,2017-12-13 00:40:31.845851,AJ,owner's manual
14,Orion 8945 SkyQuest Dobsonian,8945,B001DDW9V6,2017-12-13 07:42:24.483985,AJ,"12"""
15,Orion Dobsonian Reflector,8974,B00D2LDZLK,2017-12-13 07:43:20.85251,AJ,"8"""
16,Orion Dobsonian Reflector,8974,B00D2LDZLK,2017-12-13 07:43:26.259877,AJ,"8"""
17,Celestron NexStar Computerized Telescope,31145,B0007UQNNQ,2017-12-13 07:45:28.849654,AJ,Needs batteries
18,Celestron Collimation Eyepiece,94182,B00009R7RJ,2017-12-13 07:47:13.367143,AJ,In unmarked box
